location_code,location_name,average_rating
K149,P.S. 149 Danny Kaye,7.0
K150,P.S. 150 Christopher,5.666666666666667
K151,P.S. 151 Lyndon B. Johnson,7.0
K152,School of Science & Technology,8.5
K152,School of Science & Technology,8.5
K153,P.S. 153 Homecrest,7.2
K154,The Windsor Terrace School,8.5
K155,P.S./ I.S. 155 Nicholas Herkimer,7.888888888888889
K156,P.S. 156 Waverly,6.5
K157,P.S./I.S. 157 The Benjamin Franklin Health & Scien,7.2
K158,P.S. 158 Warwick,9.0
K159,P.S. 159 Isaac Pitkin,7.285714285714286
K160,P.S. 160 William T. Sampson,7.666666666666667
K161,P.S. 161 The Crown,8.0
K162,J.H.S. 162 The Willoughby,7.2
K163,P.S. 163 Bath Beach,8.5
K164,P.S. 164 Caesar Rodney,8.166666666666666
K165,P.S. 165 Ida Posner,7.166666666666667
K166,J.H.S. 166 George Gershwin,7.333333333333333
K167,P.S. 167 The Parkway,8.0
K168,The Brooklyn School for Math and Research,7.5
K169,P.S. 169 Sunset Park,6.666666666666667
K170,Ralph A. Fabrizio School,8.0
K170,Ralph A. Fabrizio School,8.0
K171,I.S. 171 Abraham Lincoln,7.5
K172,P.S. 172 Beacon School of Excellence,6.25
K174,P.S. 174 Dumont,6.0
K176,P.S. 176 Ovington,7.5
K177,P.S. 177 The Marlboro,9.0
K178,P.S. 178 Saint Clair Mckelway,6.5
K179,P.S. 179 Kensington,8.0
K180,The SEEALL Academy,7.75
K181,P.S. 181 Brooklyn,8.0
K182,Success Academy Charter School - Williamsburg,7.5
K183,P.S. 183 Daniel Chappie James,6.833333333333333
K184,P.S. 184 Newport,7.0
K185,P.S. 185 Walter Kassenbrock,6.666666666666667
K186,P.S. 186 Dr. Irving A Gladstone,9.0
K187,The Christa McAuliffe School\I.S. 187,7.333333333333333
K188,P.S. 188 Michael E. Berdy,8.25
K189,P.S. 189 The Bilingual Center,6.5
K190,P.S. 190 Sheffield,6.0
K332,P.S. 332 Charles H. Houston,6.857142857142857
K191,P.S. 191 Paul Robeson,6.5
K192,P.S. 192 - The Magnet School for Math and Science,8.666666666666666
K193,P.S. 193 Gil Hodges,8.333333333333334
K194,P.S. 194 Raoul Wallenberg,8.166666666666666
K195,P.S. 195 Manhattan Beach,7.55
K196,P.S. 196 Ten Eyck,7.0
K197,P.S. 197 - The Kings Highway Academy,8.25
K198,P.S. 198 Brooklyn,6.666666666666667
K199,P.S. 199 Frederick Wachtel,8.571428571428571
K200,P.S. 200 Benson School,8.5
K201,J.H.S. 201 The Dyker Heights,8.0
K202,P.S. 202 Ernest S. Jenkyns,6.666666666666667
K203,P.S. 203 Floyd Bennett School,
K204,P.S. 204 Vince Lombardi,9.0
K205,P.S. 205 Clarion,9.0
K206,P.S. 206 Joseph F Lamb,8.0
K207,P.S. 207 Elizabeth G. Leary,8.0
K208,P.S. 208 Elsa Ebeling,7.285714285714286
K209,P.S. 209 Margaret Mead,7.785714285714286
K211,I.S. 211 John Wilson,6.0
K212,P.S. 212 Lady Deborah Moody,8.666666666666666
K213,P.S. 213 New Lots,7.0
K214,P.S. 214 Michael Friedsam,7.222222222222222
K215,P.S. 215 Morris H. Weiss,7.0
K216,P.S. 216 Arturo Toscanini,7.4
K217,P.S. 217 Colonel David Marcus School,8.0
K218,J.H.S. 218 James P. Sinnott,8.666666666666666
K219,P.S. 219 Kennedy-King,7.25
K220,J.H.S. 220 John J. Pershing,7.666666666666667
K221,P.S. 221 Toussaint L'Ouverture,8.0
K222,P.S. 222 Katherine R. Snyder,8.25
K223,J.H.S. 223 The Montauk,8.166666666666666
